LotFrontage;LotArea;YearBuilt;YearRemodAdd;BedroomAbvGr;TotRmsAbvGrd;GarageCars;Price
NA;13250;1978;1978;4;8;2;198825,56
80;10928;1978;1986;3;7;2;184294,58
NA;12388;1980;1991;4;9;2;200443,79
80;11088;1978;1998;3;7;2;181294,78
70;7000;2003;2003;3;7;2;174354,34
NA;7500;2000;2001;3;7;2;172023,68
NA;8470;2002;2002;3;7;2;181666,92
NA;9373;1975;1975;3;7;2;179024,49
78;10140;1974;1974;3;6;2;178324,19
85;11050;1975;1975;3;5;2;184534,68
NA;7830;1970;1970;2;6;2;159397,25
NA;8510;1971;1971;3;6;1;178430,97
60;7038;1970;1970;3;5;2;177743,80
60;9000;1971;2006;3;5;2;179395,31
21;1680;1973;1973;2;5;1;151713,38
21;1680;1972;1972;2;5;1;151713,38
24;2308;1976;1976;3;7;2;168434,98
24;2280;1975;1975;2;4;2;153999,10
24;2349;1977;1977;3;6;2;164096,10
24;2364;1978;1978;3;7;2;166335,40
24;2364;1978;1978;3;6;2;163020,73
24;2104;1976;1976;2;5;1;155862,51
NA;10710;1966;2004;3;5;2;182760,65
110;14257;2007;2007;4;10;3;201912,27
95;12350;2009;2009;3;8;3;185988,23
95;12350;2008;2008;3;7;3;183778,45
105;13693;2007;2007;2;8;3;170935,86
95;11578;2008;2008;3;7;3;184468,91
129;16870;2004;2005;3;7;3;191569,09
59;23303;2007;2007;5;10;3;232991,03
87;10367;2008;2008;3;8;3;180980,72
77;10872;2006;2006;2;6;3;164279,13
102;13514;2008;2008;3;7;3;183859,46
90;12878;2003;2004;3;8;2;185922,47
110;15274;2003;2003;3;10;3;191742,78
96;13262;2003;2004;4;10;3;199954,07
70;9658;2006;2006;3;6;3;180690,27
47;6904;2005;2005;2;6;2;163099,31
34;5122;2005;2005;1;5;2;140791,92
80;10307;2007;2008;2;6;2;166481,87
100;14836;2004;2005;2;8;3;172080,43
117;15262;2003;2004;3;8;3;191719,16
44;7390;2008;2009;2;6;2;160741,10
48;6472;2008;2008;2;6;2;157829,55
129;16770;2002;2003;3;8;3;196896,75
48;3480;2003;2003;2;6;2;159675,42
63;10928;2005;2005;3;8;2;182084,79
57;8918;2005;2006;3;7;2;179233,93
43;3182;2005;2006;2;5;2;155774,27
59;9434;2004;2005;3;6;2;181354,33
62;7984;2004;2005;3;7;2;179605,56
61;10125;2004;2004;3;7;2;181609,35
NA;8965;2003;2003;3;8;2;178221,53
NA;8174;2003;2003;3;7;2;175559,92
NA;12891;2002;2002;4;8;3;200328,82
61;9734;2004;2004;3;7;2;178630,06
42;8433;2000;2000;3;7;2;177174,54
62;7750;1999;2000;3;7;2;172515,69
NA;15896;1999;1999;4;8;3;204032,99
64;7848;1999;1999;3;7;2;176023,23
106;12720;2000;2000;4;10;3;202202,07
NA;10750;1994;1995;3;7;3;181734,48
79;9085;1995;1996;3;7;2;183982,16
NA;11692;1993;1994;3;8;2;188007,94
86;11194;2008;2008;3;7;3;185922,97
78;10206;2008;2008;3;7;3;183978,54
85;10130;2007;2007;3;7;3;177199,62
76;9139;2006;2006;3;7;2;181878,65
85;11128;2005;2006;2;9;3;173622,09
90;7993;2008;2009;3;6;2;180728,17
72;8640;2008;2008;3;7;2;176477,03
112;12606;2007;2008;3;7;3;184282,27
75;7500;2006;2007;2;6;2;162062,48
84;10603;2006;2006;3;8;3;182550,07
65;8125;2008;2009;3;8;2;180987,95
85;10625;2006;2007;3;8;3;178173,80
68;8736;2003;2004;3;6;2;179980,64
65;8127;2003;2003;3;6;2;173257,64
80;9605;2007;2007;3;6;2;177271,29
63;7500;2006;2006;3;6;2;175338,36
63;7500;2004;2004;3;5;0;177548,14
96;10628;2004;2004;3;8;2;175969,92
76;10141;2004;2004;3;6;3;175011,48
63;13072;2004;2005;3;6;2;185199,37
63;13072;2004;2004;3;6;0;188514,05
60;12450;2003;2004;3;6;2;185080,15
61;7328;2008;2009;2;6;3;157304,40
43;11492;1996;1997;4;8;2;194260,86
70;7703;1992;1992;3;6;2;181262,33
50;7175;1990;1991;2;5;2;157003,29
70;9109;1994;1994;3;6;2;182924,50
NA;10274;1986;1986;3;6;2;181902,59
75;8250;1981;1981;4;8;2;188985,37
63;9750;1962;1962;3;5;2;185290,90
NA;8499;1961;1961;3;5;2;177304,43
NA;9079;1961;1961;2;5;1;166274,90
NA;9316;1965;1965;3;5;1;177807,42
NA;7791;1963;1995;3;6;1;180330,62
65;7150;1962;1962;3;6;1;179069,11
NA;15676;1980;1980;2;6;3;175943,37
NA;11949;1991;2008;3;7;2;185199,05
32;2880;2004;2005;3;9;3;167350,91
NA;3830;2008;2008;2;6;2;149315,31
NA;4217;2008;2008;1;5;2;139010,85
34;2998;2000;2000;2;4;2;155412,15
35;3768;1999;1999;3;6;2;171308,31
NA;14694;1977;2008;2;5;2;176220,54
110;15417;1981;1981;2;7;2;177643,43
80;9600;1976;1976;4;5;2;187222,65
NA;12732;1974;1974;3;7;2;185635,13
80;10400;1967;1997;5;8;2;206492,53
80;9600;1969;1969;3;6;2;181681,02
75;9000;1969;1969;3;5;1;180500,20
NA;13774;1977;1992;4;8;2;206486,17
62;7130;1967;1967;2;5;1;161334,30
80;9600;1967;1967;3;7;2;176156,56
80;9600;1974;1974;4;8;2;191642,22
NA;16500;1971;1971;3;5;2;191945,81
60;7436;1960;1960;2;5;2;164146,31
65;8125;1959;1959;3;5;1;179883,06
NA;9450;1957;1957;3;6;3;178071,14
NA;13495;1956;1956;3;7;2;188241,64
85;9350;1961;1995;3;6;2;174559,66
115;10500;1964;1964;3;6;2;182347,36
NA;8970;1965;1965;4;7;2;191507,25
85;11475;1961;1961;4;7;2;199751,87
68;9768;1955;1955;2;5;1;162106,42
90;9900;1967;1967;2;5;2;164575,98
92;10573;1961;1961;3;6;2;179176,35
80;14695;1966;2008;2;5;2;177327,40
73;8760;1956;1956;3;6;1;177818,08
NA;12285;1960;1960;3;5;2;186965,20
66;9240;1959;1998;3;6;1;178762,74
70;8750;1956;1956;3;6;1;183322,87
70;8750;1955;1955;3;6;1;178903,30
80;10400;1956;1956;3;6;1;186570,13
76;9482;1958;1958;4;8;2;199144,24
53;8128;1954;1954;3;6;1;172154,71
67;13070;1951;1951;2;5;2;177444,02
80;8480;1945;1950;2;4;1;166200,94
60;7626;1952;2005;2;5;1;158995,77
75;9533;1953;1953;2;7;1;168273,28
78;11419;1948;1999;3;6;2;189680,45
60;9600;1950;1950;3;6;1;181681,02
53;5470;1958;1958;2;4;1;160277,14
60;10800;1939;2006;4;7;2;197318,55
80;8146;1900;2003;2;6;1;162228,94
60;10230;1925;1950;3;6;1;187340,46
60;10410;1915;1950;3;8;2;181065,35
60;7200;1910;2008;4;5;2;190233,61
90;5400;1940;1950;2;4;0;157929,59
60;10800;1920;1950;2;4;2;168557,00
60;10800;1890;1998;1;4;1;160805,58
81;9671;1969;1969;6;12;3;221648,39
83;10143;1963;1963;3;6;1;180539,88
77;11500;1967;1967;3;6;2;182105,62
62;8010;1958;2007;2;6;2;166380,85
90;10454;1957;1957;3;5;1;178942,16
80;9000;1958;1958;2;5;1;162804,75
60;8064;1950;1950;3;5;2;183077,68
71;7350;1958;1958;3;6;1;171728,47
60;7200;1952;1952;2;4;1;164786,74
80;8000;1959;1959;3;6;1;177427,27
60;10800;1949;1996;4;6;1;197318,55
60;8064;1948;1994;3;6;2;178658,11
76;7570;1964;1964;4;8;2;185437,32
75;8604;1978;1978;2;4;2;169759,65
80;7936;1963;1963;3;6;1;173986,64
68;4080;1935;1998;3;6;1;168607,66
57;10307;1910;1950;4;12;2;194138,52
90;15660;1910;2003;3;6;2;192502,44
90;9900;1910;2002;3;7;0;176746,97
57;6406;1939;1950;3;7;2;177604,89
63;7627;1920;1950;4;8;0;193283,75
56;10134;1910;1950;3;6;0;181627,06
50;6000;1950;1970;3;6;1;169071,62
62;7404;1920;1950;2;5;2;167398,01
50;5925;1940;1950;1;4;1;150106,51
60;8520;1923;1950;2;5;1;159650,30
60;9600;1910;1950;3;7;2;179471,24
70;8400;1900;1950;3;8;1;177109,59
60;3600;1917;2007;3;5;1;166558,11
NA;3300;1910;1950;2;5;0;153796,71
60;5400;1920;1950;3;6;1;174520,15
60;9720;1910;2002;4;8;3;196297,96
72;9392;1900;1950;2;5;0;169100,68
NA;6615;1923;1950;3;6;1;176911,32
50;4960;1930;1982;3;7;1;169234,65
60;6000;1924;1950;3;6;1;172386,30
51;6120;1925;1999;2;5;1;156031,90
51;6120;1938;1950;3;6;1;168202,89
50;8635;1925;1950;2;5;5;166505,98
57;8094;1915;1950;3;8;2;176507,37
68;9928;1915;1994;3;8;1;180116,75
50;3000;1922;1950;4;11;0;183072,74
57;6876;1927;1950;4;8;1;189595,96
NA;5775;1915;2002;3;7;1;167523,92
41;5852;1902;2000;6;9;0;210817,78
60;5160;1927;1950;3;4;1;172942,93
86;5160;1923;1950;1;5;0;145286,28
60;10320;1915;1965;3;7;1;176468,65
50;4280;1946;2001;2;4;1;159040,07
60;10800;1987;1988;3;5;0;178518,20
NA;10547;1978;1978;2;6;1;169163,98
60;9780;1934;1950;4;6;1;189786,69
75;11625;1967;1967;3;6;1;181246,73
NA;8014;1978;1978;3;5;2;176349,93
88;15400;1961;1961;4;8;1;205266,63
88;15312;1960;1960;3;6;2;187397,99
NA;15584;1956;1956;4;9;1;208943,43
NA;9000;1947;1950;2;5;0;165014,53
NA;15635;1954;1954;2;6;2;182492,04
68;9571;1956;1956;2;5;1;161718,71
50;9350;1946;1950;3;6;1;180084,12
62;7440;1954;1954;3;5;1;178534,95
42;4235;1984;1984;2;5;1;151217,26
74;10778;1990;1991;1;4;2;156342,72
66;19255;1983;1983;2;5;2;188511,44
85;10560;1993;1994;3;8;2;183570,34
120;26400;1880;2007;4;7;2;225810,16
64;7018;1979;1979;6;8;2;214217,40
64;7018;1979;1979;4;8;2;187665,64
64;7040;1979;1979;2;6;2;161157,18
64;7007;1979;1979;4;8;2;187643,99
NA;11855;2000;2000;6;8;4;228156,37
NA;7939;2000;2000;6;8;4;220449,53
NA;7976;2000;2000;6;8;4;220522,35
84;10933;2009;2009;1;8;3;156647,76
65;10816;2008;2008;3;8;3;187388,83
71;9178;2008;2008;3;6;3;178640,72
77;11422;2007;2008;3;7;2;180847,22
64;6762;2007;2007;2;6;2;159505,17
95;10324;2008;2008;2;5;3;164305,54
78;11645;2005;2006;3;7;3;180181,20
79;11646;2005;2006;3;7;2;184602,73
NA;16698;1992;1993;3;7;2;193440,37
65;9757;1994;1994;3;5;1;184199,79
65;14753;1998;1998;3;5;2;196241,89
70;8750;1998;1998;3;7;2;175588,62
65;10739;2002;2001;3;6;2;179503,05
75;11166;2001;2001;3;6;2;183658,08
NA;16269;1978;1978;3;5;1;193700,98
76;6950;1979;1979;2;5;2;165399,62
90;11664;2002;2002;3;6;3;186847,94
NA;12334;2003;2003;4;8;2;198127,73
70;8749;2002;2002;3;6;2;183320,90
NA;11250;2001;2001;3;6;2;181613,61
90;15750;1999;2000;2;5;2;178298,79
NA;12782;2002;2003;3;7;2;185733,53
70;8750;1997;1998;3;7;2;180008,19
85;10200;2007;2007;3;7;3;175127,60
85;11069;2007;2007;3;6;2;183467,18
80;10682;1960;1971;3;7;1;182705,55
35;3675;2005;2006;2;5;2;152324,94
64;6410;1959;1959;3;5;1;169878,52
70;11767;1950;1950;3;6;1;183735,98
65;10926;1959;1959;6;10;0;224118,28
70;11767;1956;1956;2;7;1;169355,20
45;8212;1941;1950;3;6;1;180054,28
70;6300;1938;1950;3;7;1;174081,60
43;5707;1935;1950;3;6;1;168494,99
64;8574;1916;2000;3;6;2;181871,60
53;7155;1918;1990;3;6;1;173554,49
60;13680;1940;1950;2;6;2;169805,38
80;14680;1960;1960;2;5;1;176192,99
NA;8145;1940;1950;5;13;2;204264,39
70;9100;1954;1954;2;6;1;169630,91
90;13339;1960;1960;3;6;2;185724,84
78;15600;1949;2005;3;7;1;195699,04
100;17500;1954;1954;3;6;2;189494,28
24;1733;1980;1980;2;5;2;149607,91
24;1488;1980;1992;2;5;2;154650,20
24;1612;1980;1980;2;5;2;151579,56
NA;13607;1986;1986;3;6;2;185147,38
NA;17597;1971;2009;3;7;2;196314,53
50;8660;1900;1993;5;11;2;210802,40
60;10200;1925;1950;2;4;1;166271,29
44;3843;2007;2008;2;5;2;154865,36
109;21780;1910;1950;1;4;1;173575,51
75;10125;2000;2001;3;7;3;179399,56
75;9750;1977;1977;2;5;1;164280,78
72;9360;1977;1977;2;5;2;171247,49
82;11070;1991;1991;2;5;2;166878,59
113;13438;2008;2008;3;9;3;188129,46
79;14463;2008;2008;3;7;3;183517,34
NA;9839;1980;2006;3;7;2;175522,03
125;14419;1987;1989;3;7;2;190060,11
75;9157;2003;2003;3;9;2;174179,82
85;12633;2007;2007;2;7;3;171059,52
75;12518;1968;1968;3;6;1;183004,19
83;13383;1969;2000;3;7;2;183601,65
50;7689;1972;1972;2;4;1;163539,33
62;7706;1993;1996;2;5;1;164677,68
70;7669;1992;1993;2;5;2;162395,07
62;10429;1992;1992;3;6;2;182207,63
70;10457;1969;1969;4;7;2;192223,94
72;8702;1997;1998;3;7;2;176391,83
65;8139;1995;1996;3;7;2;181913,18
59;9535;1998;1998;3;7;2;179136,10
NA;15038;1996;1996;3;7;2;196595,57
53;14137;1996;1997;3;7;2;194822,37
45;6264;1997;1997;1;6;2;148356,67
39;5070;1992;1992;2;5;2;160387,60
73;11184;1998;1998;3;7;2;181276,50
NA;14067;1991;1991;3;7;2;192474,82
65;5950;1989;1989;2;5;2;157699,91
101;13543;2005;2005;5;9;3;215785,54
53;15401;2004;2004;2;7;3;181824,30
NA;31220;1952;1952;3;7;2;221813,01
60;8118;2007;2007;2;6;2;165281,29
NA;47280;1950;1950;3;6;2;255629,49
63;12680;1988;1988;2;6;2;173154,59
NA;10825;1983;1983;3;6;2;183884,65
56;18559;1978;1978;3;7;2;200210,35
85;14450;1979;1979;3;6;2;186599,22
90;13068;1976;1976;3;6;2;192718,53
80;10400;1980;1988;3;7;2;178628,67
75;9743;1969;1969;3;7;2;180650,34
NA;12511;1978;1978;4;8;4;206003,11
80;10400;1976;1976;2;5;2;166457,68
NA;14311;1996;1996;4;9;3;202916,22
60;9000;1974;1974;4;8;2;192463,97
68;10295;1969;1969;2;4;1;171775,50
63;7560;1971;1971;3;5;2;175249,22
21;1680;1973;1973;2;5;1;147086,60
21;1890;1972;1972;2;5;1;149709,67
21;1680;1972;1972;3;6;1;171411,40
24;2308;1975;1975;4;7;2;178188,96
24;2529;1977;1977;2;4;2;156491,71
98;12704;2007;2007;3;7;3;180953,24
105;13693;2007;2007;4;9;3;203909,76
104;14418;2007;2007;2;7;3;175470,15
108;13418;2006;2006;4;9;3;205578,33
96;12539;2005;2006;4;10;4;199428,86
102;12151;2005;2005;3;9;3;187599,16
74;8899;2007;2007;4;10;3;192265,20
85;10574;2004;2004;4;9;3;196666,55
106;12720;2003;2003;1;7;3;155537,86
92;10845;2003;2004;2;7;3;169543,24
130;16900;2001;2002;4;10;3;202487,01
112;16451;2003;2003;4;9;3;208232,72
58;10110;2008;2008;2;7;3;173621,20
135;12304;2005;2005;2;6;2;172414,61
89;8232;2007;2008;2;6;3;164400,76
48;6240;2006;2007;2;6;2;160480,42
48;6240;2006;2007;2;6;2;156060,85
36;2448;2003;2004;2;6;2;157437,19
NA;3940;2003;2003;2;6;3;158163,72
NA;3940;2004;2004;2;7;3;154849,04
53;3710;2007;2008;2;5;2;152186,61
80;9024;2004;2004;3;8;2;180340,22
NA;8010;2002;2003;3;7;2;178344,62
NA;8396;2003;2003;4;9;2;190170,38
55;7301;2007;2008;2;6;2;168092,98
71;8220;2000;2001;3;8;2;178757,91
NA;7750;2002;2002;3;6;2;174518,26
41;12460;1999;2000;4;8;2;198168,49
77;8390;1999;1999;3;7;2;176882,69
84;9660;1997;1997;3;9;2;183801,67
NA;11000;2000;2000;4;8;3;196400,05
136;11675;1998;1998;2;5;3;172281,61
97;10990;1996;1997;4;12;2;196380,37
NA;11929;1995;1995;4;9;3;198228,35
91;10010;1993;1994;4;9;3;195556,58
74;13253;2006;2006;3;7;3;186453,26
73;9801;2007;2007;3;7;3;181869,38
80;9428;2007;2008;3;8;3;175610,84
87;10037;2006;2007;3;6;2;183438,73
72;8640;2007;2008;3;6;2;179584,49
85;10625;2007;2007;3;7;3;182386,15
62;7500;2007;2008;2;6;2;160750,37
68;10110;2003;2003;3;7;2;182477,51
67;12774;2003;2004;3;8;2;187720,36
63;13072;2005;2006;3;6;0;187201,94
81;9260;2007;2007;3;6;2;176385,10
65;8453;1995;1995;3;6;2;175901,79
50;8480;1993;1994;3;7;2;182584,28
43;14565;1994;1995;3;6;2;195664,69
65;8450;2001;2001;3;7;2;181420,35
75;8285;1992;1992;3;7;2;176676,05
70;9100;1963;1963;3;5;1;181594,68
75;8100;1961;2007;3;5;1;178521,75
65;8450;1968;1968;3;5;1;175895,88
60;6360;1963;1963;3;5;1;168468,01
95;19508;1974;1974;3;6;2;200973,13
70;10759;1972;1972;4;5;2;197030,64
NA;9205;1990;1991;4;9;2;192867,42
105;11025;1993;1994;4;10;2;196449,25
37;3435;2004;2005;1;5;2;141684,20
30;3180;2005;2005;2;5;2;153353,33
30;3180;2007;2007;2;5;2;151143,55
24;2280;1999;1999;3;6;2;163753,09
NA;4765;2000;2000;2;5;2;158682,46
NA;4538;2001;2001;1;5;2;144959,84
42;4385;2001;2001;2;5;2;160144,39
35;4109;1999;2000;2;5;2;156286,53
24;2160;1999;2000;3;5;2;165726,71
79;10646;2001;2001;3;7;2;182427,48
24;2645;1999;1999;3;7;2;173310,56
24;2645;1999;2000;3;7;2;173310,56
36;3951;1998;1999;2;7;2;151556,01
22;11064;1995;1995;1;4;2;158908,15
NA;24572;1977;1977;3;9;3;209834,38
103;16280;1976;2007;3;6;2;192410,52
NA;7500;2002;2002;3;7;2;174026,25
NA;11104;1969;1969;4;7;2;195499,83
85;11050;1968;1968;4;8;2;200918,02
NA;15387;1967;1967;4;8;2;207243,62
75;9750;1965;1965;4;8;2;196149,78
73;8814;1968;1968;4;7;2;192097,91
65;8125;1965;2005;3;5;2;178570,95
72;11072;1965;1965;6;10;2;228617,97
NA;13355;1971;1971;4;7;2;199929,88
74;7785;1956;1956;2;6;1;160206,37
90;9900;1961;1961;3;5;2;179854,43
NA;11332;1960;2000;3;6;1;185987,34
50;4882;1937;1950;2;5;1;161122,51
80;9600;1960;1960;3;6;2;175949,34
80;9600;1950;2006;3;7;1;183683,59
63;7584;1953;1953;3;5;1;176401,35
90;14670;1966;1999;4;9;2;205832,53
74;8856;1957;1957;3;6;1;177799,80
82;9840;1959;1998;2;7;1;167565,36
90;13200;1958;1958;3;5;2;186348,96
75;10425;1956;1958;3;5;1;179782,76
60;11556;1952;1952;2;4;1;169837,62
102;9373;1953;1953;3;6;2;178817,28
NA;12774;1953;1953;2;5;2;174444,48
95;14250;1957;1957;3;6;2;192834,97
71;8838;1957;1982;4;7;1;196564,72
76;12436;1957;1957;5;9;2;206977,57
60;10122;1948;1950;1;3;1;157054,25
45;7506;1925;1950;3;5;1;175142,95
60;5400;1940;2005;2;4;1;159932,16
60;10836;1922;1950;3;7;4;182801,41
78;10180;1968;1968;3;5;2;181510,38
76;11355;1958;2001;3;6;2;181613,04
NA;12929;1960;1993;3;5;1;186920,51
60;7200;1951;1951;2;5;2;157950,17
80;8000;1959;1959;3;6;1;176115,16
80;8000;1962;1962;3;6;1;182744,51
60;8064;1948;1950;3;5;2;180660,68
64;6390;1954;1954;2;4;1;160775,63
60;7200;1954;1954;4;6;1;186711,72
113;8513;1961;1961;6;10;0;223581,76
60;7200;1955;1967;3;6;2;172330,94
60;7200;1954;1954;2;4;1;163474,63
69;7590;1963;1963;3;6;1;175308,26
56;9836;2008;2008;3;7;1;187462,73
